relative_time_s,throughput,processed_count,drop_rate,avg_delay_processed
0,204.66666666666666,196.66666666666666,0.027522935779816515,1.8050000000000002
1,256.75,250.5,0.04932735426008968,1.7870389221556886
2,207.4,200.4,0.03908794788273615,1.7870389221556886
3,236.6,229.6,0.024342745861733205,1.7930862369337977
4,239.2,229.6,0.033751205400192864,1.7930862369337977
5,200.6,192.8,0.02926481084939329,1.713872406639004
6,138.2,129.6,0.041578576462297394,1.6873811728395063
7,188.2,180.6,0.03896103896103896,1.6729579180509413
8,116.8,109.0,0.03958090803259604,1.6887926605504588
9,149.6,145.0,0.036905965621840245,1.6930441379310344
10,110.4,106.2,0.04030226700251889,1.6784105461393597
11,91.0,87.0,0.03784033225657591,1.6651103448275861
12,79.6,76.2,0.03872752420470263,2.05055905511811
13,79.0,76.2,0.04049700874367234,2.05055905511811
14,82.8,79.0,0.03787878787878788,2.247513924050633
15,82.4,79.0,0.03949579831932773,2.247513924050633
16,130.0,126.0,0.03913211933359163,2.2122142857142855
17,89.8,85.8,0.03913211933359163,2.1433496503496503
18,151.8,148.0,0.03825717321997875,2.1240175675675674
19,113.4,109.2,0.03893805309734513,2.121250915750916
20,184.8,178.2,0.03599872570882447,2.099991021324355
21,137.0,131.2,0.03875476493011436,2.081044207317073
22,211.6,204.0,0.038231098430813126,2.0530411764705883
23,149.6,141.8,0.03905359179019384,2.033605077574048
24,227.8,218.4,0.03811485964460469,2.011328754578755
25,157.6,149.4,0.039104708001029075,1.9859196787148594
26,229.8,221.0,0.039421506881268956,2.007645248868778
27,155.0,148.2,0.0407640344747263,2.010136302294197
28,207.0,198.2,0.03886622289027271,1.9847527749747729
29,127.8,121.6,0.0390725633319021,1.993988486842105
30,169.6,162.8,0.039821210889882164,1.991485257985258
31,96.8,91.2,0.04060089321965083,1.9432083333333334
32,139.6,132.8,0.04065356934448551,1.9485798192771084
33,87.4,82.8,0.04065356934448551,1.972169082125604
34,127.6,122.2,0.040328603435399554,1.9467954173486088
35,133.8,130.0,0.040865833177831684,1.8304538461538462
36,136.4,130.0,0.040797987059669305,1.8304538461538462
37,155.0,149.4,0.039242685025817556,1.7384056224899598
38,156.6,149.4,0.041387600893010475,1.7384056224899598
39,186.8,180.8,0.03979774914369597,1.6514933628318584
40,141.0,131.8,0.04151742103549332,1.6447996965098635
41,212.8,205.8,0.03955063096337334,1.6496511175898931
42,155.0,144.8,0.04205679201841903,1.6311367403314916
43,153.0,144.8,0.04007550457383476,1.6311367403314916
44,152.0,142.4,0.042716478424558356,1.9657275280898876
45,150.0,142.4,0.04285507456203851,1.9657275280898876
46,140.8,131.2,0.042022595756406725,2.2460381097560975
47,137.4,131.2,0.042945629731589816,2.2460381097560975
48,192.6,184.8,0.04268212356738243,2.2020411255411254
49,123.4,116.4,0.04293428157513499,2.1454570446735395
50,167.2,160.0,0.042566709021601014,2.15507875
51,102.4,97.2,0.04317460317460318,2.133111111111111
52,139.2,133.8,0.04295765954820393,2.1388849028400596
53,85.0,80.2,0.043193878810317166,2.1686508728179548
54,125.8,121.0,0.04258656050186995,2.143504132231405
55,81.4,77.4,0.0432790837854129,2.1225142118863047
56,127.4,122.0,0.04280338664158043,2.0248573770491802
57,90.4,85.4,0.043253408556652564,1.969416861826698
58,148.8,142.8,0.043135011441647594,1.9299425770308123
59,107.6,102.0,0.043244480036609086,1.8642901960784315
60,181.2,172.6,0.043035734041376256,1.8598041714947855
61,135.4,128.0,0.043353240433532406,1.8613453125
62,208.0,199.2,0.04365838113448056,1.8672118473895583
63,149.0,141.8,0.043963045555909526,1.8655923836389279
64,228.4,219.6,0.0431448727124016,1.8361930783242257
65,154.4,149.0,0.043438266557645135,1.828076510067114
