task_id,system_ts,event_ts,log_id,content,lag_magnitude
2,1765280768049,1765280761393,157,Log_157,6656
2,1765280768049,1765280761935,246,Log_246,6114
0,1765280768165,1765280760414,15,Log_15,7751
2,1765280772046,1765280765659,1022,Log_1022,6387
2,1765280772047,1765280765781,1046,Log_1046,6266
0,1765280772164,1765280764131,691,Log_691,8033
0,1765280772164,1765280765173,913,Log_913,6991
2,1765280774046,1765280766506,1182,Log_1182,7540
0,1765280774163,1765280767562,1390,Log_1390,6601
0,1765280774163,1765280767268,1331,Log_1331,6895
0,1765280774164,1765280766937,1271,Log_1271,7227
1,1765280775870,1765280769718,1728,Log_1728,6152
1,1765280777868,1765280771907,2028,Log_2028,5961
2,1765280780046,1765280773932,2222,Log_2222,6114
2,1765280780047,1765280773620,2192,Log_2192,6427
0,1765280780163,1765280773629,2193,Log_2193,6534
1,1765280781869,1765280775704,2409,Log_2409,6165
1,1765280781869,1765280775615,2398,Log_2398,6254
2,1765280782046,1765280775628,2402,Log_2402,6418
1,1765280783867,1765280777655,2614,Log_2614,6212
2,1765280784045,1765280776312,2472,Log_2472,7733
1,1765280785869,1765280779852,2874,Log_2874,6017
2,1765280786046,1765280779960,2897,Log_2897,6086
0,1765280786163,1765280779539,2830,Log_2830,6624
0,1765280786164,1765280779715,2861,Log_2861,6449
1,1765280787867,1765280781963,3218,Log_3218,5904
1,1765280787868,1765280781860,3208,Log_3208,6008
0,1765280788164,1765280781493,3133,Log_3133,6671
0,1765280788164,1765280781694,3173,Log_3173,6470
2,1765280792046,1765280785843,3962,Log_3962,6203
0,1765280792164,1765280785762,3935,Log_3935,6402
0,1765280792164,1765280785294,3841,Log_3841,6870
1,1765280793867,1765280787806,4368,Log_4368,6061
2,1765280794046,1765280787743,4357,Log_4357,6303
0,1765280794164,1765280787816,4371,Log_4371,6348
0,1765280794164,1765280787639,4341,Log_4341,6525
2,1765280796046,1765280789552,4692,Log_4692,6494
2,1765280796046,1765280788670,4532,Log_4532,7376
0,1765280802163,1765280795379,5415,Log_5415,6784
0,1765280804163,1765280796883,5581,Log_5581,7280
1,1765280805867,1765280799973,5964,Log_5964,5894
2,1765280806046,1765280799883,5947,Log_5947,6163
0,1765280806163,1765280798968,5811,Log_5811,7195
1,1765280809867,1765280803536,6574,Log_6574,6331
2,1765280814046,1765280807813,7402,Log_7402,6233
2,1765280814046,1765280806259,7137,Log_7137,7787
0,1765280814163,1765280806143,7110,Log_7110,8020
0,1765280816163,1765280809413,7680,Log_7680,6750
2,1765280818046,1765280811548,7996,Log_7996,6498
0,1765280818163,1765280811719,8020,Log_8020,6444
1,1765280819869,1765280813911,8274,Log_8274,5958
2,1765280820046,1765280813459,8222,Log_8222,6587
0,1765280820163,1765280813915,8275,Log_8275,6248
0,1765280820163,1765280813093,8183,Log_8183,7070
2,1765280824046,1765280817512,8647,Log_8647,6534
2,1765280824046,1765280817929,8686,Log_8686,6117
2,1765280824046,1765280817707,8667,Log_8667,6339
0,1765280826163,1765280819970,8935,Log_8935,6193
1,1765280827867,1765280821959,9248,Log_9248,5908
1,1765280827869,1765280821210,9129,Log_9129,6659
0,1765280828163,1765280820847,9061,Log_9061,7316
2,1765280830046,1765280823944,9617,Log_9617,6102
0,1765280830163,1765280823507,9531,Log_9531,6656
0,1765280830164,1765280823714,9581,Log_9581,6450
1,1765280831868,1765280825636,9938,Log_9938,6232
2,1765280832045,1765280825630,9937,Log_9937,6415
2,1765280832045,1765280825321,9867,Log_9867,6724
0,1765280832163,1765280825750,9965,Log_9965,6413
2,1765280834046,1765280825153,9842,Log_9842,8893
1,1765280835868,1765280829464,10669,Log_10669,6404
0,1765280838164,1765280831278,10915,Log_10915,6886
0,1765280840164,1765280833427,11171,Log_11171,6737
2,1765280842045,1765280835851,11387,Log_11387,6194
0,1765280842163,1765280834380,11260,Log_11260,7783
0,1765280844163,1765280837506,11563,Log_11563,6657
0,1765280844163,1765280837327,11541,Log_11541,6836
0,1765280844163,1765280837407,11551,Log_11551,6756
1,1765280845867,1765280839897,11878,Log_11878,5970
2,1765280846045,1765280839759,11856,Log_11856,6286
0,1765280846163,1765280839393,11801,Log_11801,6770
0,1765280846163,1765280838440,11661,Log_11661,7723
2,1765280848046,1765280840561,11976,Log_11976,7485
0,1765280848162,1765280841362,12115,Log_12115,6800
0,1765280850163,1765280843081,12413,Log_12413,7082
0,1765280852163,1765280844941,12790,Log_12790,7222
0,1765280854163,1765280847801,13330,Log_13330,6362
0,1765280854163,1765280845494,12893,Log_12893,8669
0,1765280856163,1765280849811,13681,Log_13681,6352
1,1765280857868,1765280851972,13964,Log_13964,5896
2,1765280858045,1765280851733,13942,Log_13942,6312
0,1765280858163,1765280851011,13851,Log_13851,7152
