relative_time_s,throughput,processed_count,drop_rate,avg_delay_processed
0,228.66666666666666,223.0,0.024822695035460994,2.137784753363229
1,270.0,265.75,0.020036429872495445,2.176086547507056
2,217.4,212.6,0.02478134110787172,2.176086547507056
3,235.4,231.2,0.01574074074074074,2.2131150519031144
4,182.8,178.6,0.02207911683532659,2.227519596864502
5,216.6,213.2,0.019191226867717615,2.1877673545966227
6,138.8,134.4,0.021872863978127138,2.156485119047619
7,185.0,182.0,0.01921989824759751,2.1529483516483516
8,110.8,108.4,0.021984216459977453,2.1020202952029523
9,147.8,146.0,0.019383697813121274,2.084645205479452
10,87.6,85.2,0.01987083954297069,2.095119718309859
11,125.6,123.8,0.018619436875567667,2.0578012924071083
12,78.6,76.2,0.02084277299501586,2.0046036745406823
13,119.8,117.4,0.019983347210657785,1.9664770017035773
14,82.6,79.8,0.021205821205821207,1.9344010025062657
15,132.4,129.6,0.019908116385911178,1.8830277777777777
16,93.6,91.0,0.021032504780114723,1.843832967032967
17,158.4,155.2,0.020913210177762286,1.797375
18,117.4,114.0,0.021254355400696864,1.7617456140350876
19,189.0,185.4,0.020957147325617768,1.770722761596548
20,138.4,135.6,0.021569240387621133,1.759710914454277
21,213.2,210.0,0.02050561797752809,1.7475895238095238
22,148.0,145.8,0.020780679584386407,1.754663923182442
23,228.0,224.8,0.0195630081300813,1.7470391459074732
24,156.4,153.4,0.019812039624079247,1.7293441981747069
25,228.0,224.8,0.019589767227471768,1.7644341637010676
26,153.4,150.4,0.02026715799170889,1.7836954787234043
27,206.2,203.4,0.01914486279514997,1.6963510324483775
28,126.4,124.4,0.019561981713799702,1.6730980707395497
29,126.0,124.4,0.018518518518518517,1.6730980707395497
30,94.4,93.2,0.019110842888754778,1.790096566523605
31,94.2,93.2,0.019308125502815767,1.790096566523605
32,84.6,82.8,0.01855789677169921,2.260294685990338
33,125.8,124.6,0.01874758407421724,2.223069020866774
34,126.0,124.6,0.01873492858467817,2.223069020866774
35,137.4,135.4,0.018035714285714287,2.148036927621861
36,138.0,135.4,0.01838629061049625,2.148036927621861
37,159.0,157.2,0.01808873720136519,2.125942748091603
38,117.6,115.4,0.018758526603001365,2.117471403812825
39,193.6,191.8,0.017782088587132233,2.085686131386861
40,143.0,140.8,0.01809954751131222,2.103109375
41,219.6,217.0,0.01704718417047184,2.0544055299539172
42,156.0,152.6,0.01779467680608365,2.0010917431192663
43,225.4,222.0,0.017667336972134445,1.9716441441441441
44,150.2,145.6,0.01823140970427792,1.9369958791208794
45,214.0,209.6,0.017634996582365003,1.9308816793893133
46,137.2,133.4,0.01844010381095479,1.911728635682159
47,188.4,185.2,0.01818181818181818,1.9368012958963283
48,119.6,115.8,0.01856694560669456,1.9547253886010363
49,161.2,158.2,0.01808295397066262,1.9310113780025282
50,97.0,94.2,0.018703399469227854,1.9405498938428876
51,137.0,134.6,0.01845699520118125,1.8909479940564635
52,85.2,82.8,0.018819188191881917,1.821867149758454
53,126.0,124.0,0.018480739229569183,1.7452967741935486
54,83.8,81.6,0.018598512119030478,1.682450980392157
55,129.2,127.2,0.018494674002106987,1.636743710691824
56,88.8,86.8,0.01883922302831734,1.5722580645161293
57,152.4,149.4,0.01857338195077484,1.5560843373493976
58,111.2,108.2,0.018685199954426343,1.5426321626617374
59,184.2,180.8,0.01868953386103782,1.5242599557522125
60,138.2,135.2,0.01901307836025937,1.5139082840236686
61,138.0,135.2,0.018802154853702336,1.5139082840236686
62,148.2,145.6,0.018802154853702336,1.8585343406593406
63,148.2,145.6,0.018802154853702336,1.8585343406593406
64,156.6,153.4,0.018603232692894173,2.205631029986962
65,157.2,153.4,0.018902439024390243,2.205631029986962
66,219.8,215.2,0.018926829268292682,2.229915427509294
67,145.8,142.2,0.019213888617965472,2.235925457102672
68,195.2,192.0,0.01902328222600795,2.283491666666667
69,113.6,111.6,0.01902328222600795,2.3478118279569897
