task_id,window_end,trigger_ts,count_actual,count_expected,loss_network,lag_system,current_wm
2,1765431174000,1765431174781.0,71,226,155,781.0,1765431174012
2,1765431176000,1765431176893.0,124,394,270,893.0,1765431176037
2,1765431178000,1765431178766.0,140,436,296,766.0,1765431178099
2,1765431180000,1765431180672.0,116,382,266,672.0,1765431180029
2,1765431182000,1765431182779.0,98,304,206,779.0,1765431182190
2,1765431184000,1765431184600.0,86,265,179,600.0,1765431184061
2,1765431186000,1765431186695.0,59,190,131,695.0,1765431186179
2,1765431188000,1765431189346.0,66,211,145,1346.0,1765431188098
2,1765431190000,1765431191165.0,66,199,133,1165.0,1765431190009
2,1765431192000,1765431193248.0,78,247,169,1248.0,1765431192046
2,1765431194000,1765431195169.0,104,328,224,1169.0,1765431194032
2,1765431196000,1765431197085.0,116,367,251,1085.0,1765431196001
2,1765431198000,1765431199077.0,118,379,261,1077.0,1765431197999
2,1765431200000,1765431200989.0,129,412,283,989.0,1765431200032
2,1765431202000,1765431203097.0,119,370,251,1097.0,1765431202082
2,1765431204000,1765431204914.0,83,268,185,914.0,1765431204014
2,1765431206000,1765431206897.0,68,214,146,897.0,1765431206037
2,1765431208000,1765431208950.0,68,223,155,950.0,1765431208005
2,1765431210000,1765431210920.0,64,214,150,920.0,1765431210014
2,1765431212000,1765431212744.0,84,262,178,744.0,1765431212036
2,1765431214000,1765431214753.0,102,325,223,753.0,1765431214072
2,1765431216000,1765431216692.0,119,376,257,692.0,1765431216077
2,1765431218000,1765431218671.0,125,403,278,671.0,1765431218023
2,1765431220000,1765431221251.0,115,361,246,1251.0,1765431219999
2,1765431222000,1765431223200.0,105,334,229,1200.0,1765431222010
2,1765431224000,1765431225107.0,89,286,197,1107.0,1765431224009
2,1765431226000,1765431227181.0,72,229,157,1181.0,1765431226001
2,1765431228000,1765431229190.0,62,190,128,1190.0,1765431228098
2,1765431230000,1765431231082.0,66,217,151,1082.0,1765431230027
2,1765431232000,1765431232941.0,71,235,164,941.0,1765431232006
2,1765431234000,1765431234931.0,97,304,207,931.0,1765431234009
2,1765431236000,1765431236898.0,118,379,261,898.0,1765431236001
2,1765431238000,1765431238930.0,118,376,258,930.0,1765431238059
2,1765431240000,1765431240860.0,132,403,271,860.0,1765431240046
2,1765431242000,1765431242937.0,109,337,228,937.0,1765431242037
2,1765431244000,1765431244773.0,84,268,184,773.0,1765431244019
2,1765431246000,1765431246666.0,62,211,149,666.0,1765431246009
2,1765431248000,1765431248680.0,56,169,113,680.0,1765431248089
2,1765431250000,1765431250731.0,66,208,142,731.0,1765431250049
2,1765431252000,1765431252611.0,82,271,189,611.0,1765431252039
2,1765431254000,1765431255253.0,101,316,215,1253.0,1765431254053
2,1765431256000,1765431257136.0,123,379,256,1136.0,1765431256009
2,1765431258000,1765431259247.0,123,397,274,1247.0,1765431258106
2,1765431260000,1765431261151.0,115,364,249,1151.0,1765431260079
2,1765431262000,1765431263151.0,112,346,234,1151.0,1765431262050
2,1765431264000,1765431264986.0,86,268,182,986.0,1765431264012
2,1765431266000,1765431266878.0,70,214,144,878.0,1765431266037
2,1765431268000,1765431269082.0,60,187,127,1082.0,1765431268087
2,1765431270000,1765431270863.0,66,199,133,863.0,1765431270027
2,1765431272000,1765431272892.0,85,280,195,892.0,1765431272121
2,1765431274000,1765431284665.0,103,325,222,10665.0,1765431274051
2,1765431276000,1765431285400.0,108,346,238,9400.0,1765431276062
2,1765431278000,1765431286194.0,129,403,274,8194.0,1765431278039
2,1765431280000,1765431287594.0,125,382,257,7594.0,1765431280033
2,1765431282000,1765431288220.0,102,319,217,6220.0,1765431282024
2,1765431284000,1765431288653.0,99,313,214,4653.0,1765431284006
2,1765431286000,1765431288990.0,80,241,161,2990.0,1765431286079
2,1765431288000,1765431289331.0,65,196,131,1331.0,1765431288054
2,1765431290000,1765431291100.0,70,226,156,1100.0,1765431290002
2,1765431292000,1765431293114.0,82,253,171,1114.0,1765431292087
2,1765431294000,1765431295015.0,88,292,204,1015.0,1765431294038
2,1765431296000,1765431297026.0,121,397,276,1026.0,1765431296037
2,1765431298000,1765431298937.0,128,397,269,937.0,1765431298013
2,1765431300000,1765431300952.0,132,424,292,952.0,1765431300083
2,1765431302000,1765431302924.0,116,364,248,924.0,1765431302000
2,1765431304000,1765431317184.0,81,244,163,13184.0,9223372036854775807
