task_id,sys_ts,event_ts,log_id,content,status,window_end
0,1765432973783.0,1765432972177,31,Log_31,NORMAL,1765432973000
0,1765432973783.0,1765432972699,112,Log_112,NORMAL,1765432973000
0,1765432973783.0,1765432972676,109,Log_109,NORMAL,1765432973000
0,1765432973783.0,1765432972811,127,Log_127,NORMAL,1765432973000
0,1765432974600.0,1765432972076,18,Log_18,NORMAL,1765432974000
0,1765432974600.0,1765432972248,36,Log_36,NORMAL,1765432974000
0,1765432974600.0,1765432972288,42,Log_42,NORMAL,1765432974000
0,1765432974600.0,1765432972395,57,Log_57,NORMAL,1765432974000
0,1765432974600.0,1765432972437,66,Log_66,NORMAL,1765432974000
0,1765432974600.0,1765432972503,78,Log_78,NORMAL,1765432974000
0,1765432974600.0,1765432972308,45,Log_45,NORMAL,1765432974000
0,1765432974600.0,1765432972353,51,Log_51,NORMAL,1765432974000
0,1765432974600.0,1765432972131,27,Log_27,NORMAL,1765432974000
0,1765432974600.0,1765432972326,48,Log_48,NORMAL,1765432974000
0,1765432974600.0,1765432972093,21,Log_21,NORMAL,1765432974000
0,1765432974600.0,1765432972144,30,Log_30,NORMAL,1765432974000
0,1765432974600.0,1765432972024,12,Log_12,NORMAL,1765432974000
0,1765432974600.0,1765432972268,39,Log_39,NORMAL,1765432974000
0,1765432974600.0,1765432972596,93,Log_93,NORMAL,1765432974000
0,1765432974600.0,1765432972483,75,Log_75,NORMAL,1765432974000
0,1765432974600.0,1765432972444,69,Log_69,NORMAL,1765432974000
0,1765432974600.0,1765432972707,114,Log_114,NORMAL,1765432974000
0,1765432974600.0,1765432972687,111,Log_111,NORMAL,1765432974000
0,1765432974600.0,1765432972667,108,Log_108,NORMAL,1765432974000
0,1765432974600.0,1765432973024,153,Log_153,NORMAL,1765432974000
0,1765432974600.0,1765432972111,24,Log_24,NORMAL,1765432974000
0,1765432974600.0,1765432972408,60,Log_60,NORMAL,1765432974000
0,1765432974600.0,1765432972557,87,Log_87,NORMAL,1765432974000
0,1765432974600.0,1765432972203,33,Log_33,NORMAL,1765432974000
0,1765432974600.0,1765432972754,120,Log_120,NORMAL,1765432974000
0,1765432974600.0,1765432972465,72,Log_72,NORMAL,1765432974000
0,1765432974600.0,1765432972936,138,Log_138,NORMAL,1765432974000
0,1765432974600.0,1765432973073,162,Log_162,NORMAL,1765432974000
0,1765432974600.0,1765432972420,63,Log_63,NORMAL,1765432974000
0,1765432974600.0,1765432973132,171,Log_171,NORMAL,1765432974000
0,1765432974600.0,1765432972945,141,Log_141,NORMAL,1765432974000
0,1765432974600.0,1765432973201,183,Log_183,NORMAL,1765432974000
0,1765432974600.0,1765432972766,123,Log_123,NORMAL,1765432974000
0,1765432974600.0,1765432972535,81,Log_81,NORMAL,1765432974000
0,1765432974600.0,1765432973123,168,Log_168,NORMAL,1765432974000
0,1765432974600.0,1765432972913,135,Log_135,NORMAL,1765432974000
0,1765432974600.0,1765432972954,144,Log_144,NORMAL,1765432974000
0,1765432974600.0,1765432972857,132,Log_132,NORMAL,1765432974000
0,1765432974600.0,1765432972611,96,Log_96,NORMAL,1765432974000
0,1765432974600.0,1765432973151,174,Log_174,NORMAL,1765432974000
0,1765432974600.0,1765432972734,117,Log_117,NORMAL,1765432974000
0,1765432974600.0,1765432973356,204,Log_204,NORMAL,1765432974000
0,1765432974600.0,1765432972970,147,Log_147,NORMAL,1765432974000
0,1765432974600.0,1765432973249,189,Log_189,NORMAL,1765432974000
0,1765432974600.0,1765432973420,213,Log_213,NORMAL,1765432974000
0,1765432974600.0,1765432973039,156,Log_156,NORMAL,1765432974000
0,1765432974600.0,1765432973455,222,Log_222,NORMAL,1765432974000
0,1765432974600.0,1765432973335,201,Log_201,NORMAL,1765432974000
0,1765432974600.0,1765432972647,102,Log_102,NORMAL,1765432974000
0,1765432974600.0,1765432973642,261,Log_261,NORMAL,1765432974000
0,1765432974600.0,1765432973608,252,Log_252,NORMAL,1765432974000
0,1765432974600.0,1765432973055,159,Log_159,NORMAL,1765432974000
0,1765432974600.0,1765432973444,219,Log_219,NORMAL,1765432974000
0,1765432974600.0,1765432973169,177,Log_177,NORMAL,1765432974000
0,1765432974600.0,1765432973685,267,Log_267,NORMAL,1765432974000
0,1765432974600.0,1765432973365,207,Log_207,NORMAL,1765432974000
0,1765432974600.0,1765432973524,231,Log_231,NORMAL,1765432974000
0,1765432974600.0,1765432973720,279,Log_279,NORMAL,1765432974000
0,1765432974600.0,1765432973555,237,Log_237,NORMAL,1765432974000
0,1765432974600.0,1765432973695,270,Log_270,NORMAL,1765432974000
0,1765432974600.0,1765432973575,243,Log_243,NORMAL,1765432974000
0,1765432974600.0,1765432972631,99,Log_99,NORMAL,1765432974000
0,1765432974600.0,1765432973255,192,Log_192,NORMAL,1765432974000
0,1765432974600.0,1765432973736,282,Log_282,NORMAL,1765432974000
0,1765432974600.0,1765432972813,129,Log_129,NORMAL,1765432974000
0,1765432974600.0,1765432972589,90,Log_90,NORMAL,1765432974000
0,1765432974600.0,1765432973839,300,Log_300,NORMAL,1765432974000
0,1765432974600.0,1765432973264,195,Log_195,NORMAL,1765432974000
0,1765432974600.0,1765432973804,291,Log_291,NORMAL,1765432974000
0,1765432974600.0,1765432973212,186,Log_186,NORMAL,1765432974000
0,1765432974600.0,1765432973626,258,Log_258,NORMAL,1765432974000
0,1765432974600.0,1765432973659,264,Log_264,NORMAL,1765432974000
0,1765432974600.0,1765432973586,249,Log_249,NORMAL,1765432974000
0,1765432974600.0,1765432973913,312,Log_312,NORMAL,1765432974000
0,1765432974600.0,1765432973928,315,Log_315,NORMAL,1765432974000
0,1765432974600.0,1765432973467,225,Log_225,NORMAL,1765432974000
0,1765432974600.0,1765432973771,288,Log_288,NORMAL,1765432974000
0,1765432974600.0,1765432973003,150,Log_150,NORMAL,1765432974000
0,1765432974600.0,1765432973194,180,Log_180,NORMAL,1765432974000
0,1765432974600.0,1765432973571,240,Log_240,NORMAL,1765432974000
0,1765432974600.0,1765432973432,216,Log_216,NORMAL,1765432974000
0,1765432974600.0,1765432973619,255,Log_255,NORMAL,1765432974000
0,1765432974600.0,1765432972775,126,Log_126,NORMAL,1765432974000
0,1765432974600.0,1765432973936,318,Log_318,NORMAL,1765432974000
0,1765432974600.0,1765432973812,294,Log_294,NORMAL,1765432974000
0,1765432974600.0,1765432973891,309,Log_309,NORMAL,1765432974000
0,1765432974600.0,1765432973394,210,Log_210,NORMAL,1765432974000
0,1765432974600.0,1765432973984,324,Log_324,NORMAL,1765432974000
0,1765432974600.0,1765432973082,165,Log_165,NORMAL,1765432974000
0,1765432974600.0,1765432973489,228,Log_228,NORMAL,1765432974000
0,1765432974600.0,1765432973965,321,Log_321,NORMAL,1765432974000
0,1765432974600.0,1765432973547,234,Log_234,NORMAL,1765432974000
0,1765432974600.0,1765432973823,297,Log_297,NORMAL,1765432974000
0,1765432974605.0,1765432972034,13,Log_13,NORMAL,1765432974000
0,1765432974605.0,1765432972113,25,Log_25,NORMAL,1765432974000
0,1765432974605.0,1765432972093,22,Log_22,NORMAL,1765432974000
0,1765432974605.0,1765432972332,49,Log_49,NORMAL,1765432974000
0,1765432974605.0,1765432972005,10,Log_10,NORMAL,1765432974000
0,1765432974605.0,1765432972276,40,Log_40,NORMAL,1765432974000
0,1765432974605.0,1765432972252,37,Log_37,NORMAL,1765432974000
0,1765432974605.0,1765432972089,19,Log_19,NORMAL,1765432974000
0,1765432974605.0,1765432972398,58,Log_58,NORMAL,1765432974000
0,1765432974605.0,1765432972559,88,Log_88,NORMAL,1765432974000
0,1765432974605.0,1765432972074,16,Log_16,NORMAL,1765432974000
0,1765432974605.0,1765432972420,64,Log_64,NORMAL,1765432974000
0,1765432974605.0,1765432972513,79,Log_79,NORMAL,1765432974000
0,1765432974605.0,1765432972444,70,Log_70,NORMAL,1765432974000
0,1765432974605.0,1765432972751,118,Log_118,NORMAL,1765432974000
0,1765432974605.0,1765432972408,61,Log_61,NORMAL,1765432974000
0,1765432974605.0,1765432972314,46,Log_46,NORMAL,1765432974000
0,1765432974605.0,1765432972486,76,Log_76,NORMAL,1765432974000
0,1765432974605.0,1765432972545,85,Log_85,NORMAL,1765432974000
0,1765432974605.0,1765432972369,52,Log_52,NORMAL,1765432974000
0,1765432974605.0,1765432972593,91,Log_91,NORMAL,1765432974000
0,1765432974605.0,1765432972139,28,Log_28,NORMAL,1765432974000
0,1765432974605.0,1765432972212,34,Log_34,NORMAL,1765432974000
0,1765432974605.0,1765432972617,97,Log_97,NORMAL,1765432974000
0,1765432974605.0,1765432972833,130,Log_130,NORMAL,1765432974000
0,1765432974605.0,1765432972441,67,Log_67,NORMAL,1765432974000
0,1765432974605.0,1765432972291,43,Log_43,NORMAL,1765432974000
0,1765432974605.0,1765432972651,103,Log_103,NORMAL,1765432974000
0,1765432974605.0,1765432972719,115,Log_115,NORMAL,1765432974000
0,1765432974605.0,1765432972963,145,Log_145,NORMAL,1765432974000
0,1765432974605.0,1765432972951,142,Log_142,NORMAL,1765432974000
0,1765432974605.0,1765432972664,106,Log_106,NORMAL,1765432974000
0,1765432974605.0,1765432972604,94,Log_94,NORMAL,1765432974000
0,1765432974605.0,1765432972639,100,Log_100,NORMAL,1765432974000
0,1765432974605.0,1765432973170,178,Log_178,NORMAL,1765432974000
0,1765432974605.0,1765432972862,133,Log_133,NORMAL,1765432974000
0,1765432974605.0,1765432973126,169,Log_169,NORMAL,1765432974000
0,1765432974605.0,1765432972767,124,Log_124,NORMAL,1765432974000
0,1765432974605.0,1765432972976,148,Log_148,NORMAL,1765432974000
0,1765432974605.0,1765432973268,196,Log_196,NORMAL,1765432974000
0,1765432974605.0,1765432972476,73,Log_73,NORMAL,1765432974000
0,1765432974605.0,1765432972540,82,Log_82,NORMAL,1765432974000
0,1765432974605.0,1765432972941,139,Log_139,NORMAL,1765432974000
0,1765432974605.0,1765432973350,202,Log_202,NORMAL,1765432974000
0,1765432974605.0,1765432973020,151,Log_151,NORMAL,1765432974000
0,1765432974605.0,1765432973195,181,Log_181,NORMAL,1765432974000
0,1765432974605.0,1765432973076,163,Log_163,NORMAL,1765432974000
0,1765432974605.0,1765432973056,160,Log_160,NORMAL,1765432974000
0,1765432974605.0,1765432973162,175,Log_175,NORMAL,1765432974000
0,1765432974605.0,1765432973302,199,Log_199,NORMAL,1765432974000
0,1765432974605.0,1765432972177,31,Log_31,NORMAL,1765432974000
0,1765432974605.0,1765432973217,187,Log_187,NORMAL,1765432974000
0,1765432974605.0,1765432973422,214,Log_214,NORMAL,1765432974000
0,1765432974605.0,1765432973357,205,Log_205,NORMAL,1765432974000
0,1765432974605.0,1765432973256,193,Log_193,NORMAL,1765432974000
0,1765432974605.0,1765432972699,112,Log_112,NORMAL,1765432974000
0,1765432974605.0,1765432973572,241,Log_241,NORMAL,1765432974000
0,1765432974605.0,1765432973468,226,Log_226,NORMAL,1765432974000
0,1765432974605.0,1765432973380,208,Log_208,NORMAL,1765432974000
0,1765432974605.0,1765432973026,154,Log_154,NORMAL,1765432974000
0,1765432974605.0,1765432973603,250,Log_250,NORMAL,1765432974000
0,1765432974605.0,1765432972676,109,Log_109,NORMAL,1765432974000
0,1765432974605.0,1765432972811,127,Log_127,NORMAL,1765432974000
