task_id,window_end,trigger_ts,count_actual,count_expected,loss_network,lag_system,current_wm
2,1765430794000,1765430796662,5,13,8,2662,1765430794015
2,1765430796000,1765430798719,106,322,216,2719,1765430796024
2,1765430798000,1765430800642,131,400,269,2642,1765430798037
2,1765430800000,1765430802618,136,415,279,2618,1765430800052
2,1765430802000,1765430804627,123,376,253,2627,1765430802103
2,1765430804000,1765430806701,102,307,205,2701,1765430804075
2,1765430806000,1765430808452,79,235,156,2452,1765430806032
2,1765430808000,1765430810515,61,187,126,2515,1765430808109
2,1765430810000,1765430812327,68,205,137,2327,1765430810055
2,1765430812000,1765430814310,68,205,137,2310,1765430812021
2,1765430814000,1765430816212,87,268,181,2212,1765430814026
2,1765430816000,1765430818263,118,358,240,2263,1765430816094
2,1765430818000,1765430820252,113,355,242,2252,1765430818093
2,1765430820000,1765430822865,130,400,270,2865,1765430820032
2,1765430822000,1765430824802,131,394,263,2802,1765430822059
2,1765430824000,1765430826894,116,349,233,2894,1765430824111
2,1765430826000,1765430828722,92,277,185,2722,1765430826033
2,1765430828000,1765430830702,64,193,129,2702,1765430828004
2,1765430830000,1765430832702,73,229,156,2702,1765430830014
2,1765430832000,1765430834630,70,214,144,2630,1765430832027
2,1765430834000,1765430836522,91,274,183,2522,1765430834028
2,1765430836000,1765430838534,108,325,217,2534,1765430835999
2,1765430838000,1765430840638,133,403,270,2638,1765430838161
2,1765430840000,1765430842553,137,418,281,2553,1765430840209
2,1765430842000,1765430844452,109,328,219,2452,1765430842034
2,1765430844000,1765430846330,107,334,227,2330,1765430844055
2,1765430846000,1765430848440,86,259,173,2440,1765430846085
2,1765430848000,1765430850277,74,223,149,2277,1765430848005
2,1765430850000,1765430852199,66,199,133,2199,1765430850030
2,1765430852000,1765430854201,67,208,141,2201,1765430852077
2,1765430854000,1765430856856,81,256,175,2856,1765430854002
2,1765430856000,1765430858855,108,322,214,2855,1765430856102
2,1765430858000,1765430860784,128,388,260,2784,1765430858062
2,1765430860000,1765430862693,119,367,248,2693,1765430860018
2,1765430862000,1765430864695,139,415,276,2695,1765430862017
2,1765430864000,1765430866727,101,304,203,2727,1765430864050
2,1765430866000,1765430868728,84,262,178,2728,1765430866146
2,1765430868000,1765430870689,62,193,131,2689,1765430868111
2,1765430870000,1765430872532,63,187,124,2532,1765430870057
2,1765430872000,1765430874515,65,202,137,2515,1765430872068
2,1765430874000,1765430876424,93,289,196,2424,1765430874020
2,1765430876000,1765430878460,109,331,222,2460,1765430876092
2,1765430878000,1765430880344,133,400,267,2344,1765430878002
2,1765430880000,1765430882350,123,388,265,2350,1765430880064
2,1765430882000,1765430884272,117,355,238,2272,1765430882008
2,1765430884000,1765430886272,111,334,223,2272,1765430884029
2,1765430886000,1765430888161,81,247,166,2161,1765430886042
2,1765430888000,1765430890943,71,214,143,2943,1765430888091
2,1765430890000,1765430892845,63,187,124,2845,1765430890035
2,1765430892000,1765430894768,69,205,136,2768,1765430892036
2,1765430894000,1765430896757,95,298,203,2757,1765430894132
2,1765430896000,1765430898693,104,325,221,2693,1765430896021
2,1765430898000,1765430900673,120,364,244,2673,1765430898059
2,1765430900000,1765430902591,135,409,274,2591,1765430900104
2,1765430902000,1765430904617,120,361,241,2617,1765430902114
2,1765430904000,1765430906481,112,337,225,2481,1765430904001
2,1765430906000,1765430908431,90,268,178,2431,1765430906051
2,1765430908000,1765430910405,76,226,150,2405,1765430908064
2,1765430910000,1765430912497,69,205,136,2497,1765430910110
2,1765430912000,1765430914325,78,235,157,2325,1765430912012
2,1765430914000,1765430916328,85,262,177,2328,1765430914027
2,1765430916000,1765430918245,103,319,216,2245,1765430916035
2,1765430918000,1765430920173,126,382,256,2173,1765430918000
2,1765430920000,1765430922841,142,436,294,2841,1765430920015
2,1765430922000,1765430924957,133,403,270,2957,1765430922079
2,1765430924000,1765430938639,108,325,217,14639,9223372036854775807
2,1765430926000,1765430938705,59,178,119,12705,9223372036854775807
