task_id,window_end,trigger_ts,count_actual,count_expected,loss_network,lag_system,current_wm
2,1765431538000,1765431538825,2,7,5,825,1765431538109
2,1765431540000,1765431540268,91,316,225,268,1765431540008
2,1765431542000,1765431542116,112,388,276,116,1765431542033
2,1765431544000,1765431544199,119,403,284,199,1765431544060
2,1765431546000,1765431546108,102,379,277,108,1765431546025
2,1765431548000,1765431548232,91,310,219,232,1765431548185
2,1765431550000,1765431550052,70,229,159,52,1765431550057
2,1765431552000,1765431552731,51,184,133,731,1765431552175
2,1765431554000,1765431554740,60,193,133,740,1765431554094
2,1765431556000,1765431556546,62,196,134,546,1765431556004
2,1765431558000,1765431558571,82,271,189,571,1765431558041
2,1765431560000,1765431560493,100,349,249,493,1765431560028
2,1765431562000,1765431562597,103,352,249,597,1765431562064
2,1765431564000,1765431564421,109,400,291,421,1765431564035
2,1765431566000,1765431566345,111,400,289,345,1765431566028
2,1765431568000,1765431568426,105,343,238,426,1765431568078
2,1765431570000,1765431570265,78,277,199,265,1765431570041
2,1765431572000,1765431572250,54,190,136,250,1765431572033
2,1765431574000,1765431574344,61,223,162,344,1765431574001
2,1765431576000,1765431576277,60,214,154,277,1765431576010
2,1765431578000,1765431578101,82,271,189,101,1765431578032
2,1765431580000,1765431580088,95,328,233,88,1765431580067
2,1765431582000,1765431582096,117,403,286,96,1765431582073
2,1765431584000,1765431584615,113,415,302,615,1765431584053
2,1765431586000,1765431586715,99,331,232,715,1765431586142
2,1765431588000,1765431588612,91,328,237,612,1765431588006
2,1765431590000,1765431590531,77,250,173,531,1765431590023
2,1765431592000,1765431592635,66,220,154,635,1765431592194
2,1765431594000,1765431594572,60,199,139,572,1765431594094
2,1765431596000,1765431596453,58,205,147,453,1765431596022
2,1765431598000,1765431598380,67,253,186,380,1765431598010
2,1765431600000,1765431600316,97,310,213,316,1765431600005
2,1765431602000,1765431602419,108,385,277,419,1765431602077
2,1765431604000,1765431604330,103,364,261,330,1765431604055
2,1765431606000,1765431606306,125,412,287,306,1765431606042
2,1765431608000,1765431608236,89,310,221,236,1765431608033
2,1765431610000,1765431610240,72,256,184,240,1765431610015
2,1765431612000,1765431612058,51,193,142,58,1765431612005
2,1765431614000,1765431614083,51,187,136,83,1765431614035
2,1765431616000,1765431616166,56,202,146,166,1765431616045
2,1765431618000,1765431618623,80,289,209,623,1765431618034
2,1765431620000,1765431620722,96,325,229,722,1765431620049
2,1765431622000,1765431622553,114,400,286,553,1765431622005
2,1765431624000,1765431624690,110,385,275,690,1765431624090
2,1765431626000,1765431626575,106,346,240,575,1765431626075
2,1765431628000,1765431629457,97,325,228,1457,1765431628003
2,1765431630000,1765431630470,68,229,161,470,1765431630008
2,1765431632000,1765431632359,62,214,152,359,1765431632033
2,1765431634000,1765431634566,58,187,129,566,1765431634083
2,1765431636000,1765431636281,55,202,147,281,1765431636022
2,1765431638000,1765431638319,82,298,216,319,1765431638117
2,1765431640000,1765431640293,93,307,214,293,1765431640059
2,1765431642000,1765431642147,97,352,255,147,1765431642048
2,1765431644000,1765431644125,109,403,294,125,1765431644003
2,1765431646000,1765431646237,116,370,254,237,1765431646112
2,1765431648000,1765431648046,85,325,240,46,1765431648019
2,1765431650000,1765431650630,77,268,191,630,1765431650002
2,1765431652000,1765431652614,68,220,152,614,1765431652038
2,1765431654000,1765431654735,64,202,138,735,1765431654050
2,1765431656000,1765431656580,65,235,170,580,1765431656018
2,1765431658000,1765431658583,74,262,188,583,1765431658083
2,1765431660000,1765431660519,83,304,221,519,1765431660034
2,1765431662000,1765431662528,105,376,271,528,1765431662033
2,1765431664000,1765431664452,126,430,304,452,1765431664008
2,1765431666000,1765431666508,115,400,285,508,1765431666079
2,1765431668000,1765431668526,102,325,223,526,1765431668132
2,1765431670000,1765431682696,59,178,119,12696,9223372036854775807
