task_id,sys_ts,event_ts,log_id,content,status,window_end
2,1765431538825,1765431537944,2,Log_2,NORMAL,1765431538000
2,1765431538825,1765431537973,8,Log_8,NORMAL,1765431538000
2,1765431539391,1765431537956,5,Log_5,LATE,-1
2,1765431539526,1765431537996,11,Log_11,LATE,-1
2,1765431540268,1765431538119,29,Log_29,NORMAL,1765431540000
2,1765431540268,1765431538016,14,Log_14,NORMAL,1765431540000
2,1765431540268,1765431538392,62,Log_62,NORMAL,1765431540000
2,1765431540268,1765431538243,38,Log_38,NORMAL,1765431540000
2,1765431540268,1765431538380,59,Log_59,NORMAL,1765431540000
2,1765431540268,1765431538275,44,Log_44,NORMAL,1765431540000
2,1765431540268,1765431538067,20,Log_20,NORMAL,1765431540000
2,1765431540268,1765431538053,17,Log_17,NORMAL,1765431540000
2,1765431540268,1765431538353,53,Log_53,NORMAL,1765431540000
2,1765431540268,1765431538221,35,Log_35,NORMAL,1765431540000
2,1765431540268,1765431538527,86,Log_86,NORMAL,1765431540000
2,1765431540268,1765431538255,41,Log_41,NORMAL,1765431540000
2,1765431540268,1765431538300,47,Log_47,NORMAL,1765431540000
2,1765431540268,1765431538323,50,Log_50,NORMAL,1765431540000
2,1765431540268,1765431538479,77,Log_77,NORMAL,1765431540000
2,1765431540268,1765431538540,89,Log_89,NORMAL,1765431540000
2,1765431540268,1765431538108,26,Log_26,NORMAL,1765431540000
2,1765431540268,1765431538656,110,Log_110,NORMAL,1765431540000
2,1765431540268,1765431538739,122,Log_122,NORMAL,1765431540000
2,1765431540268,1765431539144,176,Log_176,NORMAL,1765431540000
2,1765431540268,1765431539059,164,Log_164,NORMAL,1765431540000
2,1765431540268,1765431538945,146,Log_146,NORMAL,1765431540000
2,1765431540268,1765431538498,80,Log_80,NORMAL,1765431540000
2,1765431540268,1765431538405,65,Log_65,NORMAL,1765431540000
2,1765431540268,1765431538076,23,Log_23,NORMAL,1765431540000
2,1765431540268,1765431538634,104,Log_104,NORMAL,1765431540000
2,1765431540268,1765431538374,56,Log_56,NORMAL,1765431540000
2,1765431540268,1765431538790,128,Log_128,NORMAL,1765431540000
2,1765431540268,1765431539016,155,Log_155,NORMAL,1765431540000
2,1765431540268,1765431538643,107,Log_107,NORMAL,1765431540000
2,1765431540268,1765431539175,182,Log_182,NORMAL,1765431540000
2,1765431540268,1765431538572,92,Log_92,NORMAL,1765431540000
2,1765431540268,1765431538625,101,Log_101,NORMAL,1765431540000
2,1765431540268,1765431538583,95,Log_95,NORMAL,1765431540000
2,1765431540268,1765431538599,98,Log_98,NORMAL,1765431540000
2,1765431540268,1765431538456,74,Log_74,NORMAL,1765431540000
2,1765431540268,1765431538522,83,Log_83,NORMAL,1765431540000
2,1765431540268,1765431538681,113,Log_113,NORMAL,1765431540000
2,1765431540268,1765431539107,170,Log_170,NORMAL,1765431540000
2,1765431540268,1765431538748,125,Log_125,NORMAL,1765431540000
2,1765431540268,1765431538930,143,Log_143,NORMAL,1765431540000
2,1765431540268,1765431538703,116,Log_116,NORMAL,1765431540000
2,1765431540268,1765431538921,140,Log_140,NORMAL,1765431540000
2,1765431540268,1765431539210,188,Log_188,NORMAL,1765431540000
2,1765431540268,1765431539377,212,Log_212,NORMAL,1765431540000
2,1765431540268,1765431538999,152,Log_152,NORMAL,1765431540000
2,1765431540268,1765431539151,179,Log_179,NORMAL,1765431540000
2,1765431540268,1765431538971,149,Log_149,NORMAL,1765431540000
2,1765431540268,1765431539440,224,Log_224,NORMAL,1765431540000
2,1765431540268,1765431539282,200,Log_200,NORMAL,1765431540000
2,1765431540268,1765431539185,185,Log_185,NORMAL,1765431540000
2,1765431540268,1765431539418,218,Log_218,NORMAL,1765431540000
2,1765431540268,1765431539329,203,Log_203,NORMAL,1765431540000
2,1765431540268,1765431539406,215,Log_215,NORMAL,1765431540000
2,1765431540268,1765431539533,236,Log_236,NORMAL,1765431540000
2,1765431540268,1765431539336,206,Log_206,NORMAL,1765431540000
2,1765431540268,1765431539601,257,Log_257,NORMAL,1765431540000
2,1765431540268,1765431539501,230,Log_230,NORMAL,1765431540000
2,1765431540268,1765431539546,239,Log_239,NORMAL,1765431540000
2,1765431540268,1765431538431,71,Log_71,NORMAL,1765431540000
2,1765431540268,1765431539679,272,Log_272,NORMAL,1765431540000
2,1765431540268,1765431539563,248,Log_248,NORMAL,1765431540000
2,1765431540268,1765431539051,161,Log_161,NORMAL,1765431540000
2,1765431540268,1765431539449,227,Log_227,NORMAL,1765431540000
2,1765431540268,1765431539561,245,Log_245,NORMAL,1765431540000
2,1765431540268,1765431538900,137,Log_137,NORMAL,1765431540000
2,1765431540268,1765431538422,68,Log_68,NORMAL,1765431540000
2,1765431540268,1765431539609,260,Log_260,NORMAL,1765431540000
2,1765431540268,1765431539631,263,Log_263,NORMAL,1765431540000
2,1765431540268,1765431539552,242,Log_242,NORMAL,1765431540000
2,1765431540268,1765431539694,275,Log_275,NORMAL,1765431540000
2,1765431540268,1765431539745,287,Log_287,NORMAL,1765431540000
2,1765431540268,1765431539669,269,Log_269,NORMAL,1765431540000
2,1765431540268,1765431539889,311,Log_311,NORMAL,1765431540000
2,1765431540268,1765431539100,167,Log_167,NORMAL,1765431540000
2,1765431540268,1765431539787,293,Log_293,NORMAL,1765431540000
2,1765431540268,1765431539706,281,Log_281,NORMAL,1765431540000
2,1765431540268,1765431539697,278,Log_278,NORMAL,1765431540000
2,1765431540268,1765431539228,191,Log_191,NORMAL,1765431540000
2,1765431540268,1765431539030,158,Log_158,NORMAL,1765431540000
2,1765431540268,1765431539516,233,Log_233,NORMAL,1765431540000
2,1765431540268,1765431539431,221,Log_221,NORMAL,1765431540000
2,1765431540268,1765431539997,329,Log_329,NORMAL,1765431540000
2,1765431540268,1765431538873,134,Log_134,NORMAL,1765431540000
2,1765431540268,1765431539943,320,Log_320,NORMAL,1765431540000
2,1765431540268,1765431539964,326,Log_326,NORMAL,1765431540000
2,1765431540268,1765431539867,308,Log_308,NORMAL,1765431540000
2,1765431540268,1765431539956,323,Log_323,NORMAL,1765431540000
2,1765431540268,1765431538730,119,Log_119,NORMAL,1765431540000
2,1765431540268,1765431539793,296,Log_296,NORMAL,1765431540000
2,1765431540268,1765431538158,32,Log_32,NORMAL,1765431540000
2,1765431540397,1765431539583,251,Log_251,LATE,-1
2,1765431540572,1765431539904,314,Log_314,LATE,-1
2,1765431540697,1765431539126,173,Log_173,LATE,-1
2,1765431540717,1765431539779,290,Log_290,LATE,-1
2,1765431540770,1765431539657,266,Log_266,LATE,-1
2,1765431540894,1765431539836,302,Log_302,LATE,-1
2,1765431540999,1765431539735,284,Log_284,LATE,-1
2,1765431541171,1765431539247,197,Log_197,LATE,-1
2,1765431541192,1765431539369,209,Log_209,LATE,-1
2,1765431541207,1765431539592,254,Log_254,LATE,-1
2,1765431541592,1765431539914,317,Log_317,LATE,-1
2,1765431542116,1765431540001,332,Log_332,NORMAL,1765431542000
2,1765431542116,1765431540115,359,Log_359,NORMAL,1765431542000
2,1765431542116,1765431540020,335,Log_335,NORMAL,1765431542000
2,1765431542116,1765431540204,383,Log_383,NORMAL,1765431542000
2,1765431542116,1765431540244,389,Log_389,NORMAL,1765431542000
2,1765431542116,1765431540176,374,Log_374,NORMAL,1765431542000
2,1765431542116,1765431540068,347,Log_347,NORMAL,1765431542000
2,1765431542116,1765431540130,362,Log_362,NORMAL,1765431542000
2,1765431542116,1765431540375,416,Log_416,NORMAL,1765431542000
2,1765431542116,1765431540099,353,Log_353,NORMAL,1765431542000
2,1765431542116,1765431540371,413,Log_413,NORMAL,1765431542000
2,1765431542116,1765431540498,437,Log_437,NORMAL,1765431542000
2,1765431542116,1765431540513,440,Log_440,NORMAL,1765431542000
2,1765431542116,1765431540551,449,Log_449,NORMAL,1765431542000
2,1765431542116,1765431540535,446,Log_446,NORMAL,1765431542000
2,1765431542116,1765431540026,338,Log_338,NORMAL,1765431542000
2,1765431542116,1765431540153,365,Log_365,NORMAL,1765431542000
2,1765431542116,1765431540186,377,Log_377,NORMAL,1765431542000
2,1765431542116,1765431540325,401,Log_401,NORMAL,1765431542000
2,1765431542116,1765431540402,419,Log_419,NORMAL,1765431542000
2,1765431542116,1765431540281,395,Log_395,NORMAL,1765431542000
2,1765431542116,1765431540195,380,Log_380,NORMAL,1765431542000
2,1765431542116,1765431540259,392,Log_392,NORMAL,1765431542000
2,1765431542116,1765431540159,368,Log_368,NORMAL,1765431542000
2,1765431542116,1765431540408,422,Log_422,NORMAL,1765431542000
2,1765431542116,1765431540340,404,Log_404,NORMAL,1765431542000
2,1765431542116,1765431540345,407,Log_407,NORMAL,1765431542000
2,1765431542116,1765431540745,485,Log_485,NORMAL,1765431542000
2,1765431542116,1765431540232,386,Log_386,NORMAL,1765431542000
2,1765431542116,1765431540620,464,Log_464,NORMAL,1765431542000
2,1765431542116,1765431540059,344,Log_344,NORMAL,1765431542000
2,1765431542116,1765431540166,371,Log_371,NORMAL,1765431542000
2,1765431542116,1765431540072,350,Log_350,NORMAL,1765431542000
2,1765431542116,1765431540583,461,Log_461,NORMAL,1765431542000
2,1765431542116,1765431540367,410,Log_410,NORMAL,1765431542000
2,1765431542116,1765431540578,458,Log_458,NORMAL,1765431542000
2,1765431542116,1765431540418,425,Log_425,NORMAL,1765431542000
2,1765431542116,1765431540727,479,Log_479,NORMAL,1765431542000
2,1765431542116,1765431540520,443,Log_443,NORMAL,1765431542000
2,1765431542116,1765431540928,509,Log_509,NORMAL,1765431542000
2,1765431542116,1765431540429,428,Log_428,NORMAL,1765431542000
2,1765431542116,1765431540740,482,Log_482,NORMAL,1765431542000
2,1765431542116,1765431540645,467,Log_467,NORMAL,1765431542000
2,1765431542116,1765431540772,488,Log_488,NORMAL,1765431542000
2,1765431542116,1765431541016,527,Log_527,NORMAL,1765431542000
2,1765431542116,1765431540673,473,Log_473,NORMAL,1765431542000
2,1765431542116,1765431540567,455,Log_455,NORMAL,1765431542000
2,1765431542116,1765431541191,563,Log_563,NORMAL,1765431542000
2,1765431542116,1765431541049,536,Log_536,NORMAL,1765431542000
2,1765431542116,1765431541187,560,Log_560,NORMAL,1765431542000
2,1765431542116,1765431541068,539,Log_539,NORMAL,1765431542000
2,1765431542116,1765431540945,512,Log_512,NORMAL,1765431542000
2,1765431542116,1765431541007,524,Log_524,NORMAL,1765431542000
2,1765431542116,1765431541275,581,Log_581,NORMAL,1765431542000
2,1765431542116,1765431541121,548,Log_548,NORMAL,1765431542000
2,1765431542116,1765431541102,542,Log_542,NORMAL,1765431542000
2,1765431542116,1765431541150,554,Log_554,NORMAL,1765431542000
2,1765431542116,1765431541115,545,Log_545,NORMAL,1765431542000
2,1765431542116,1765431541136,551,Log_551,NORMAL,1765431542000
2,1765431542116,1765431540899,506,Log_506,NORMAL,1765431542000
2,1765431542116,1765431540979,518,Log_518,NORMAL,1765431542000
2,1765431542116,1765431541031,530,Log_530,NORMAL,1765431542000
2,1765431542116,1765431540558,452,Log_452,NORMAL,1765431542000
2,1765431542116,1765431540805,494,Log_494,NORMAL,1765431542000
2,1765431542116,1765431540861,503,Log_503,NORMAL,1765431542000
2,1765431542116,1765431540788,491,Log_491,NORMAL,1765431542000
2,1765431542116,1765431540305,398,Log_398,NORMAL,1765431542000
2,1765431542116,1765431541354,599,Log_599,NORMAL,1765431542000
2,1765431542116,1765431541244,575,Log_575,NORMAL,1765431542000
2,1765431542116,1765431541453,620,Log_620,NORMAL,1765431542000
2,1765431542116,1765431541344,596,Log_596,NORMAL,1765431542000
2,1765431542116,1765431540038,341,Log_341,NORMAL,1765431542000
2,1765431542116,1765431541421,614,Log_614,NORMAL,1765431542000
2,1765431542116,1765431541214,569,Log_569,NORMAL,1765431542000
2,1765431542116,1765431541366,602,Log_602,NORMAL,1765431542000
2,1765431542116,1765431541474,623,Log_623,NORMAL,1765431542000
2,1765431542116,1765431541565,638,Log_638,NORMAL,1765431542000
2,1765431542116,1765431540490,434,Log_434,NORMAL,1765431542000
2,1765431542116,1765431541395,608,Log_608,NORMAL,1765431542000
2,1765431542116,1765431541500,626,Log_626,NORMAL,1765431542000
2,1765431542116,1765431541326,593,Log_593,NORMAL,1765431542000
2,1765431542116,1765431541312,590,Log_590,NORMAL,1765431542000
2,1765431542116,1765431541607,653,Log_653,NORMAL,1765431542000
2,1765431542116,1765431541637,659,Log_659,NORMAL,1765431542000
2,1765431542116,1765431541518,629,Log_629,NORMAL,1765431542000
2,1765431542116,1765431541611,656,Log_656,NORMAL,1765431542000
2,1765431542116,1765431540827,500,Log_500,NORMAL,1765431542000
2,1765431542116,1765431541654,665,Log_665,NORMAL,1765431542000
2,1765431542116,1765431541571,641,Log_641,NORMAL,1765431542000
2,1765431542116,1765431541416,611,Log_611,NORMAL,1765431542000
2,1765431542116,1765431541299,584,Log_584,NORMAL,1765431542000
2,1765431542116,1765431540447,431,Log_431,NORMAL,1765431542000
2,1765431542116,1765431541534,635,Log_635,NORMAL,1765431542000
2,1765431542116,1765431540665,470,Log_470,NORMAL,1765431542000
2,1765431542116,1765431541843,710,Log_710,NORMAL,1765431542000
2,1765431542116,1765431541040,533,Log_533,NORMAL,1765431542000
2,1765431542116,1765431541772,695,Log_695,NORMAL,1765431542000
2,1765431542116,1765431541716,680,Log_680,NORMAL,1765431542000
2,1765431542116,1765431541226,572,Log_572,NORMAL,1765431542000
2,1765431542116,1765431541786,698,Log_698,NORMAL,1765431542000
2,1765431542116,1765431541735,683,Log_683,NORMAL,1765431542000
2,1765431542116,1765431541742,686,Log_686,NORMAL,1765431542000
2,1765431542116,1765431541793,701,Log_701,NORMAL,1765431542000
2,1765431542116,1765431541258,578,Log_578,NORMAL,1765431542000
2,1765431542116,1765431541660,668,Log_668,NORMAL,1765431542000
2,1765431542116,1765431541602,650,Log_650,NORMAL,1765431542000
2,1765431542116,1765431541676,671,Log_671,NORMAL,1765431542000
2,1765431542116,1765431541884,716,Log_716,NORMAL,1765431542000
2,1765431542116,1765431541439,617,Log_617,NORMAL,1765431542000
2,1765431542116,1765431541898,719,Log_719,NORMAL,1765431542000
2,1765431542116,1765431541388,605,Log_605,NORMAL,1765431542000
2,1765431542116,1765431541816,704,Log_704,NORMAL,1765431542000
2,1765431542187,1765431541839,707,Log_707,LATE,-1
2,1765431542193,1765431540698,476,Log_476,LATE,-1
2,1765431542202,1765431541761,692,Log_692,LATE,-1
2,1765431542207,1765431541942,728,Log_728,LATE,-1
2,1765431542220,1765431541908,722,Log_722,LATE,-1
2,1765431542224,1765431541682,674,Log_674,LATE,-1
2,1765431542232,1765431539811,299,Log_299,LATE,-1
2,1765431542280,1765431541309,587,Log_587,LATE,-1
2,1765431542289,1765431541707,677,Log_677,LATE,-1
2,1765431542294,1765431541919,725,Log_725,LATE,-1
2,1765431542306,1765431540811,497,Log_497,LATE,-1
2,1765431542317,1765431539852,305,Log_305,LATE,-1
2,1765431542321,1765431541527,632,Log_632,LATE,-1
2,1765431542377,1765431541994,737,Log_737,LATE,-1
2,1765431542382,1765431541876,713,Log_713,LATE,-1
2,1765431542399,1765431541593,647,Log_647,LATE,-1
2,1765431542406,1765431541580,644,Log_644,LATE,-1
2,1765431542601,1765431541174,557,Log_557,LATE,-1
2,1765431542608,1765431541982,734,Log_734,LATE,-1
2,1765431542681,1765431541203,566,Log_566,LATE,-1
2,1765431542726,1765431541753,689,Log_689,LATE,-1
2,1765431543221,1765431541650,662,Log_662,LATE,-1
2,1765431543926,1765431541967,731,Log_731,LATE,-1
2,1765431544199,1765431542049,752,Log_752,NORMAL,1765431544000
2,1765431544199,1765431542034,746,Log_746,NORMAL,1765431544000
2,1765431544199,1765431542116,767,Log_767,NORMAL,1765431544000
2,1765431544199,1765431542030,743,Log_743,NORMAL,1765431544000
2,1765431544199,1765431542249,800,Log_800,NORMAL,1765431544000
2,1765431544199,1765431542178,779,Log_779,NORMAL,1765431544000
2,1765431544199,1765431542196,782,Log_782,NORMAL,1765431544000
2,1765431544199,1765431542236,794,Log_794,NORMAL,1765431544000
2,1765431544199,1765431542008,740,Log_740,NORMAL,1765431544000
2,1765431544199,1765431542354,824,Log_824,NORMAL,1765431544000
2,1765431544199,1765431542156,776,Log_776,NORMAL,1765431544000
2,1765431544199,1765431542206,785,Log_785,NORMAL,1765431544000
2,1765431544199,1765431542332,821,Log_821,NORMAL,1765431544000
2,1765431544199,1765431542217,791,Log_791,NORMAL,1765431544000
2,1765431544199,1765431542106,764,Log_764,NORMAL,1765431544000
2,1765431544199,1765431542263,803,Log_803,NORMAL,1765431544000
2,1765431544199,1765431542073,758,Log_758,NORMAL,1765431544000
2,1765431544199,1765431542444,842,Log_842,NORMAL,1765431544000
2,1765431544199,1765431542494,851,Log_851,NORMAL,1765431544000
